encounter_datetime,park_area_id,park_division,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/07/2020 11:51:00 AM,X040,Recreation,No encounter,No Encounter,,,,,,,,Bronx
07/07/2020 11:38:00 AM,X103,Recreation,Social Distancing,Social Distancing,9,0,Playground,,,,,Bronx
07/07/2020 11:27:00 AM,X045-02,Recreation,Social Distancing,Social Distancing,15,0,Open field/multi-purpose play area,,,,,Bronx
07/07/2020 11:40:00 AM,X045-03,Recreation,Social Distancing,Social Distancing,79,0,Open field/multi-purpose play area,,,,,Bronx
07/07/2020 11:00:00 AM,Q048-01,Recreation,Social Distancing,Social Distancing,3,0,Walking path,,,,,Queens
07/07/2020 11:10:00 AM,M082,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:33:00 AM,M132,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:28:00 AM,M019,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:16:00 AM,M206,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:00:00 AM,M194,Recreation,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:55:00 AM,M391,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 10:05:00 AM,M108T,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 11:30:00 AM,Q218,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 09:35:00 AM,M289,Aquatics,No encounter,No Encounter,,,,,,,,Manhattan
07/07/2020 11:10:00 AM,Q104,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:25:00 AM,Q218,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:10:00 AM,Q104,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:20:00 AM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:30:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:10:00 AM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 11:08:00 AM,Q015-08,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:45:00 AM,Q296,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:40:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:40:00 AM,Q207,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:30:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:00:00 AM,Q005,Recreation,Social Distancing,Social Distancing,5,3,Bench/sitting area,,,,,Queens
07/07/2020 10:30:00 AM,Q014,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 03:40:00 PM,Q218,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:30:00 AM,Q425-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:40:00 AM,Q304,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:00:00 AM,Q401,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:20:00 AM,Q319,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 09:15:00 AM,X104,Recreation,Social Distancing,Social Distancing,100,0,Walking path,,,,,Bronx
07/07/2020 10:17:00 AM,Q099-01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:11:00 AM,Q377,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:12:00 AM,Q357B01,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/07/2020 10:10:00 AM,Q357B,Recreation,No encounter,No Encounter,,,,,,,,Queens
07/06/2020 03:01:00 PM,Q015-05,Recreation,No encounter,No Encounter,,,,,,,,Queens
